"","gps.lon","gps.lat","price","Rooms","Meters","Mezone","KK","panel","balcony_or_terrase","metro","novostavba"
"148",14.479162,50.091835,4390000,3,45,0,0,0,0,1,0
"149",14.509288,50.132938,5780000,3,74,0,1,1,0,1,0
"150",14.372744,50.09906,7950000,4,87,0,0,0,0,1,0
"151",14.4915,50.043499,3907848,1,37,0,1,0,1,1,0
"152",14.522104,50.141609,5200000,2,57,0,1,0,0,1,1
"153",14.499413,50.106438,6390000,2,56,0,1,0,1,1,0
"154",14.527369,50.108585,3490000,1,35,0,1,0,1,1,0
"155",14.483998,50.084801,5850000,2,57,0,1,0,1,1,1
"156",14.451687,50.010921,6190000,4,75,0,0,1,0,1,0
"157",14.48471,50.084938,10800000,4,110,0,1,0,1,1,1
"158",14.484709,50.084938,3800000,1,39,0,1,0,1,1,0
"159",14.483998,50.084801,3850000,1,38,0,1,0,0,1,0
"160",14.48471,50.084938,9200000,3,93,0,1,0,1,1,0
"161",14.483998,50.084801,6500000,2,61,0,1,0,1,1,1
"162",14.522104,50.141609,7200000,3,79,0,1,0,1,1,1
"163",14.4361,50.040642,5500000,4,67,0,0,1,0,1,0
"164",14.48835,50.121025,4800000,4,61,0,0,1,0,1,0
"165",14.476366,50.090736,6590000,3,68,0,1,0,0,1,0
"166",14.392399,50.041313,6500000,2,84,1,1,0,1,1,0
"167",14.47564,50.130531,4999999,4,69,0,1,1,0,1,0
"168",14.44593,50.018742,7980000,3,96,0,1,0,1,1,1
"169",14.454062,50.026283,5180000,4,68,0,0,1,0,1,0
"170",14.442814,50.020435,3590000,2,41,0,1,1,0,1,0
"171",14.39646,50.073509,5990000,1,40,0,1,0,1,1,0
"172",14.60335,50.028828,3870000,1,36,0,1,0,0,0,1
"173",14.517697,50.141014,5250000,2,64,0,1,0,1,1,1
"174",14.384255,49.963417,4558000,1,39,0,1,0,1,0,1
"175",14.414969,50.074432,29500000,4,150,0,1,0,0,1,0
"176",14.402604,50.101337,13300000,4,100,0,0,0,0,1,0
"177",14.405616,50.087399,18150000,3,103,0,1,0,0,1,0
"178",14.405616,50.087399,22000000,2,119,0,1,0,0,1,0
"179",14.421527,50.085186,12900000,4,95,0,0,0,0,1,0
"180",14.405616,50.087399,11900000,2,53,0,1,0,1,1,0
"181",14.409209,50.101028,16400000,4,126,0,1,0,1,1,1
"182",14.404497,50.081902,20800000,3,109,0,1,0,0,1,0
"183",14.414476,50.070312,11250000,2,90,0,1,0,0,1,0
"184",14.393645,50.074841,17500000,4,138,0,1,0,1,1,1
"185",14.376128,50.083527,10500000,5,155,1,1,0,1,1,0
"186",14.430267,50.075836,4910000,1,28,0,1,0,0,1,0
"187",14.430267,50.075836,5450000,1,30,0,1,0,0,1,0
"188",14.424346,50.090099,17450000,4,125,0,1,0,1,1,0
"189",14.408078,50.082436,17000000,4,82,0,0,0,0,1,0
"190",14.395199,50.0741,7500000,2,44,0,1,0,1,1,1
"191",14.46489,50.083439,4290000,1,38,0,1,0,0,1,1
"192",14.407261,50.076805,25800000,5,215,0,1,0,1,1,0
"193",14.56773,50.104191,3000000,4,105,0,1,1,0,1,0
"194",14.399831,50.013584,6380000,2,62,0,1,0,0,1,1
"195",14.399831,50.013584,10454000,4,110,0,1,0,1,1,0
"196",14.367132,50.054485,5187500,1,50,0,1,0,1,1,0
"197",14.423189,50.091251,6490000,2,50,0,1,0,0,1,0
"198",14.453681,50.079052,13990000,3,97,0,1,0,1,1,0
"199",14.412182,50.022205,9450000,3,86,0,1,0,0,1,1
"200",14.412182,50.022205,10050000,3,86,0,1,0,0,1,1
"201",14.412182,50.022205,8700000,3,87,0,1,0,0,1,1
"202",14.412182,50.022205,9450000,3,86,0,1,0,0,1,1
"203",14.412182,50.022205,9150000,3,87,0,1,0,0,1,1
"204",14.412182,50.022205,11350000,4,108,0,1,0,1,1,1
"205",14.503298,50.030128,9950000,3,96,0,1,0,1,1,1
"206",14.374806,50.032566,4490000,2,45,0,1,1,0,1,0
"207",14.495849,50.073402,5850000,4,63,0,0,0,0,1,0
"208",14.493021,50.053959,9549025,2,91,0,1,0,1,1,1
"209",14.493021,50.053959,12825950,3,89,0,1,0,1,1,1
"210",14.4168,50.080173,24000000,4,199,0,1,0,0,1,0
